time,co2,voc
2025-08-19 10:14:38.245,588.65,100.44
2025-08-19 10:14:39.245,588.65,100.44
2025-08-19 10:14:40.246,588.65,100.44
2025-08-19 10:14:41.246,588.65,100.44
2025-08-19 10:14:42.246,588.65,104.80
2025-08-19 10:14:43.247,588.65,100.44
2025-08-19 10:14:44.247,588.65,100.44
2025-08-19 10:14:45.246,588.65,96.07
2025-08-19 10:14:46.247,588.65,91.70
2025-08-19 10:14:47.247,588.65,91.70
2025-08-19 10:14:48.247,588.65,91.70
2025-08-19 10:14:49.248,588.65,87.34
2025-08-19 10:14:50.248,588.65,87.34
2025-08-19 10:14:51.249,588.65,87.34
2025-08-19 10:14:52.249,588.65,87.34
2025-08-19 10:14:53.250,588.65,87.34
2025-08-19 10:14:54.251,588.65,91.70
2025-08-19 10:14:55.251,588.65,96.07
2025-08-19 10:14:56.253,588.65,100.44
2025-08-19 10:14:57.252,588.65,91.70
2025-08-19 10:14:58.253,588.65,91.70
2025-08-19 10:14:59.253,588.65,91.70
2025-08-19 10:15:00.254,588.65,91.70
2025-08-19 10:15:01.254,588.65,91.70
2025-08-19 10:15:02.255,588.65,91.70
2025-08-19 10:15:03.256,588.65,91.70
2025-08-19 10:15:04.257,588.65,91.70
2025-08-19 10:15:05.258,588.65,91.70
2025-08-19 10:15:06.258,588.65,96.07
2025-08-19 10:15:07.259,588.65,91.70
2025-08-19 10:15:08.259,588.65,91.70
2025-08-19 10:15:09.260,588.65,91.70
2025-08-19 10:15:10.260,588.65,96.07
2025-08-19 10:15:11.262,588.65,100.44
2025-08-19 10:15:12.261,588.65,96.07
2025-08-19 10:15:13.262,588.65,91.70
2025-08-19 10:15:14.262,588.65,96.07
2025-08-19 10:15:15.263,588.65,91.70
2025-08-19 10:15:16.263,588.65,91.70
2025-08-19 10:15:17.264,588.65,91.70
2025-08-19 10:15:18.264,588.65,91.70
2025-08-19 10:15:19.265,588.65,91.70
2025-08-19 10:15:20.265,588.65,91.70
2025-08-19 10:15:21.266,588.65,91.70
2025-08-19 10:15:22.267,588.65,91.70
2025-08-19 10:15:23.267,588.65,91.70
2025-08-19 10:15:24.268,588.65,91.70
2025-08-19 10:15:25.269,588.65,91.70
2025-08-19 10:15:26.270,588.65,87.34
2025-08-19 10:15:27.270,588.65,87.34
2025-08-19 10:15:28.271,588.65,87.34
2025-08-19 10:15:29.272,588.65,91.70
2025-08-19 10:15:30.273,588.65,91.70
2025-08-19 10:15:31.274,588.65,91.70
2025-08-19 10:15:32.275,588.65,91.70
2025-08-19 10:15:33.275,588.65,91.70
2025-08-19 10:15:34.276,588.65,91.70
2025-08-19 10:15:35.277,588.65,87.34
2025-08-19 10:15:36.277,588.65,91.70
2025-08-19 10:15:37.278,588.65,96.07
2025-08-19 10:15:38.279,588.65,96.07
2025-08-19 10:15:39.280,588.65,91.70
2025-08-19 10:15:40.281,588.65,91.70
2025-08-19 10:15:41.282,588.65,91.70
2025-08-19 10:15:42.282,588.65,87.34
2025-08-19 10:15:43.283,588.65,87.34
2025-08-19 10:15:44.284,588.65,87.34
2025-08-19 10:15:45.284,588.65,87.34
2025-08-19 10:15:46.285,588.65,87.34
2025-08-19 10:15:47.286,588.65,87.34
2025-08-19 10:15:48.286,588.65,91.70
2025-08-19 10:15:49.287,588.65,87.34
2025-08-19 10:15:50.288,588.65,87.34
2025-08-19 10:15:51.289,588.65,87.34
2025-08-19 10:15:52.290,588.65,91.70
2025-08-19 10:15:53.291,588.65,91.70
2025-08-19 10:15:54.292,588.65,91.70
2025-08-19 10:15:55.293,588.65,91.70
2025-08-19 10:15:56.293,588.65,91.70
2025-08-19 10:15:57.294,588.65,91.70
2025-08-19 10:15:58.294,588.65,91.70
2025-08-19 10:15:59.295,588.65,91.70
2025-08-19 10:16:00.296,588.65,91.70
2025-08-19 10:16:01.297,588.65,91.70
2025-08-19 10:16:02.298,588.65,91.70
2025-08-19 10:16:03.298,588.65,87.34
2025-08-19 10:16:04.299,588.65,87.34
2025-08-19 10:16:05.300,588.65,87.34
2025-08-19 10:16:06.300,588.65,87.34
2025-08-19 10:16:07.301,588.65,87.34
2025-08-19 10:16:08.301,588.65,87.34
2025-08-19 10:16:09.302,588.65,91.70
2025-08-19 10:16:10.302,588.65,91.70
2025-08-19 10:16:11.303,588.65,91.70
2025-08-19 10:16:12.304,588.65,91.70
2025-08-19 10:16:13.304,588.65,91.70
2025-08-19 10:16:14.305,588.65,91.70
2025-08-19 10:16:15.305,588.65,91.70
